id,name,team,position,price,form,ppg,ownership,minutes_pct,ict_index,bonus,xgi_per90,fdr,fixture_ease,status,score
430,Haaland,MCI,FWD,14.8,5.4,7.1,67.4,0.8861111111111111,238.6,35,0.9,2,4,a,81.2
82,Semenyo,MCI,MID,8.1,7.0,6.1,53.6,0.9567460317460318,195.2,17,0.44,2,4,a,75.6
373,Virgil,LIV,DEF,6.1,7.8,4.6,29.0,1.0,123.4,9,0.11,2,4,a,65.9
661,Ekitiké,LIV,FWD,9.0,6.2,4.7,27.8,0.6642857142857143,135.7,19,0.62,2,4,a,64.2
411,O'Reilly,MCI,DEF,5.0,7.8,4.6,9.9,0.8095238095238095,108.0,6,0.21,2,4,a,63.4
249,João Pedro,CHE,FWD,7.6,7.0,5.1,45.9,0.7801587301587302,165.3,25,0.54,4,2,a,62.4
242,Dewsbury-Hall,EVE,MID,5.0,5.4,4.9,3.5,0.6896825396825397,101.1,13,0.34,1,5,a,61.4
449,B.Fernandes,MUN,MID,9.9,4.8,6.0,37.6,0.8234126984126984,234.4,25,0.65,4,2,a,59.7
21,Rice,ARS,MID,7.5,4.3,5.6,33.2,0.9226190476190477,179.8,21,0.34,3,3,a,57.0
624,Bowen,WHU,FWD,7.6,5.2,4.7,7.8,0.9956349206349207,163.1,21,0.34,3,3,a,54.7
5,Gabriel,ARS,DEF,7.1,3.8,6.5,42.6,0.751984126984127,91.6,18,0.14,3,3,a,54.0
260,Guéhi,MCI,DEF,5.2,4.2,5.1,36.7,0.9226190476190477,109.9,9,0.19,2,4,a,54.0
303,Garner,EVE,MID,5.2,3.6,4.2,3.7,0.9972222222222222,145.2,11,0.22,1,5,a,53.1
299,Ndiaye,EVE,MID,6.2,3.8,4.3,3.9,0.7472222222222222,114.7,5,0.39,1,5,a,52.0
374,Konaté,LIV,DEF,5.5,5.6,4.0,4.1,0.9230158730158731,83.1,8,0.07,2,4,a,51.4
387,Szoboszlai,LIV,MID,6.8,4.0,4.0,9.4,0.9253968253968254,171.0,14,0.31,2,4,a,51.4
390,Gravenberch,LIV,MID,5.5,4.4,4.6,5.1,0.9099206349206349,104.7,13,0.12,2,4,a,51.2
136,Thiago,BRE,FWD,7.1,3.2,5.0,33.6,0.9452380952380952,185.8,18,0.64,3,3,a,51.0
329,Wilson,FUL,MID,6.0,2.8,4.9,22.1,0.7996031746031746,149.0,17,0.36,2,4,a,50.8
119,Mbeumo,MUN,MID,8.7,4.4,5.2,24.1,0.7484126984126984,180.7,15,0.55,4,2,a,49.5
83,O.Dango,BRE,MID,5.9,5.6,4.3,2.9,0.6059523809523809,94.5,10,0.45,3,3,a,49.4
337,Raúl,FUL,FWD,6.1,4.6,3.6,2.5,0.7031746031746032,133.4,7,0.53,2,4,a,49.2
666,Gyökeres,ARS,FWD,8.8,5.8,3.5,12.3,0.6849206349206349,113.9,11,0.52,3,3,a,49.2
381,M.Salah,LIV,MID,14.0,3.6,4.3,14.3,0.6753968253968254,152.6,5,0.57,2,4,a,49.1
47,Rogers,AVL,MID,7.7,3.6,4.6,31.2,0.9908730158730159,179.8,13,0.3,3,3,a,48.7
407,Matheus N.,MCI,DEF,5.4,3.6,4.9,3.2,0.821031746031746,87.6,14,0.08,2,4,a,48.4
660,Stach,LEE,MID,4.7,3.0,4.8,2.1,0.7341269841269841,143.2,11,0.29,2,4,a,47.9
16,Saka,ARS,MID,9.8,3.0,5.0,7.6,0.6845238095238095,187.2,13,0.63,3,3,a,47.2
324,Iwobi,FUL,MID,6.3,4.2,3.8,0.9,0.7035714285714286,105.3,10,0.23,2,4,a,46.9
691,Calvert-Lewin,LEE,FWD,5.8,2.6,4.2,9.4,0.7253968253968254,133.5,16,0.55,2,4,a,46.2
384,Gakpo,LIV,MID,7.3,3.6,3.8,5.5,0.7571428571428571,147.2,5,0.47,2,4,a,46.2
736,Donnarumma,MCI,GK,5.6,4.6,4.1,9.2,0.8869047619047619,50.9,3,0.0,2,4,a,45.6
256,Muñoz,CRY,DEF,5.9,3.4,5.6,8.3,0.665079365079365,97.9,8,0.28,3,3,a,45.1
72,Senesi,BOU,DEF,4.9,4.2,4.3,16.2,0.9476190476190476,128.4,6,0.2,3,3,a,44.8
386,Mac Allister,LIV,MID,6.2,5.2,2.7,1.5,0.7563492063492063,89.4,3,0.2,2,4,a,44.6
253,Henderson,CRY,GK,5.0,5.4,4.0,7.5,0.9642857142857143,62.5,7,0.0,3,3,a,44.6
26,Zubimendi,ARS,MID,5.3,4.7,3.9,5.0,0.9345238095238095,107.9,9,0.17,3,3,a,44.2
531,Ballard,SUN,DEF,4.6,4.4,4.4,3.2,0.7345238095238096,102.4,8,0.14,3,3,a,44.2
291,Tarkowski,EVE,DEF,5.7,1.8,4.3,10.7,1.0,110.6,6,0.12,1,5,a,44.2
295,Keane,EVE,DEF,4.6,2.0,4.4,3.5,0.773015873015873,82.8,8,0.1,1,5,a,44.0
603,Diouf,WHU,DEF,4.0,6.0,3.4,1.8,0.7234126984126984,64.7,3,0.1,3,3,a,43.8
90,Scott,BOU,MID,5.1,5.4,3.5,1.3,0.8087301587301587,88.6,6,0.19,3,3,a,43.8
457,Casemiro,MUN,MID,5.6,4.6,4.6,2.5,0.7198412698412698,131.5,14,0.32,4,2,a,43.7
615,Summerville,WHU,MID,5.7,5.0,3.5,3.1,0.7007936507936507,103.0,7,0.3,3,3,a,43.5
74,Truffert,BOU,DEF,4.5,5.0,3.5,2.1,0.9833333333333333,98.8,7,0.07,3,3,a,42.6
547,E.Le Fée,SUN,MID,4.9,4.2,3.8,1.4,0.875,121.9,8,0.31,3,3,a,42.4
414,Foden,MCI,MID,8.1,1.4,4.5,9.0,0.680952380952381,163.0,10,0.47,2,4,a,42.3
200,Anthony,BUR,MID,5.0,4.6,3.6,1.8,0.7293650793650793,113.3,6,0.26,3,3,a,42.3
708,M.Fernandes,WHU,MID,5.5,4.4,3.9,0.4,0.8424603174603175,106.4,6,0.13,3,3,a,41.9
366,A.Becker,LIV,GK,5.4,3.8,3.7,6.3,0.8214285714285714,39.2,8,0.0,2,4,a,41.6
67,Petrović,BOU,GK,4.5,5.6,3.1,4.7,1.0,61.8,5,0.0,3,3,a,41.5
8,J.Timber,ARS,DEF,6.3,2.8,4.7,27.7,0.8869047619047619,117.4,7,0.23,3,3,a,41.5
287,Pickford,EVE,GK,5.6,1.6,4.0,13.0,1.0,63.9,11,0.0,1,5,a,41.4
237,Enzo,CHE,MID,6.7,2.8,4.6,17.9,0.8865079365079365,193.0,14,0.61,4,2,a,41.2
258,Mitchell,CRY,DEF,5.0,4.0,3.9,2.1,0.9515873015873015,99.6,7,0.1,3,3,a,40.3
408,Rúben,MCI,DEF,5.5,2.6,4.5,3.3,0.7714285714285715,68.8,3,0.05,2,4,a,39.8
354,Ampadu,LEE,MID,4.9,3.2,3.5,0.2,0.8746031746031746,74.3,6,0.13,2,4,a,39.5
32,Martinez,AVL,GK,5.1,4.0,4.0,4.8,0.8392857142857143,53.7,10,0.0,3,3,a,39.4
350,Aaronson,LEE,MID,5.4,2.4,3.8,0.6,0.709920634920635,108.9,5,0.35,2,4,a,39.3
113,Van den Berg,BRE,DEF,4.5,4.8,3.3,0.9,0.8067460317460318,71.3,3,0.14,3,3,a,39.2
257,Lacroix,CRY,DEF,5.1,3.2,4.5,5.0,0.9285714285714286,87.7,7,0.1,3,3,a,39.1
684,Thiaw,NEW,DEF,5.0,3.2,4.0,4.5,0.8400793650793651,102.8,11,0.17,3,3,a,39.0
235,Palmer,CHE,MID,10.6,7.4,5.1,16.3,0.4234126984126984,96.4,7,0.78,4,2,a,38.8
310,Barry,EVE,FWD,5.7,2.4,2.5,1.0,0.6317460317460317,73.2,5,0.37,1,5,a,38.3
348,Rodon,LEE,DEF,3.9,3.0,3.2,3.9,0.8988095238095238,78.8,5,0.06,2,4,a,37.7
1,Raya,ARS,GK,6.0,3.2,4.0,34.2,1.0,44.5,5,0.0,3,3,a,36.9
302,Gana,EVE,MID,5.4,1.8,3.1,0.1,0.626984126984127,61.1,4,0.13,1,5,a,36.7
450,Cunha,MUN,MID,8.0,3.4,4.0,7.9,0.6813492063492064,132.2,10,0.4,4,2,a,36.7
440,Dalot,MUN,DEF,4.6,4.4,3.7,5.0,0.7658730158730159,93.4,9,0.16,4,2,a,36.7
20,Trossard,ARS,MID,6.7,2.3,4.0,1.0,0.6309523809523809,125.8,9,0.42,3,3,a,36.5
646,J.Gomes,WOL,MID,5.3,4.2,3.0,0.3,0.8400793650793651,80.3,4,0.11,3,3,a,36.3
261,Richards,CRY,DEF,4.4,3.0,4.3,2.6,0.8182539682539682,77.6,3,0.11,3,3,a,36.1
416,Bernardo,MCI,MID,6.2,3.2,2.5,0.6,0.8186507936507936,98.2,1,0.17,2,4,a,36.0
610,Wan-Bissaka,WHU,DEF,4.1,4.6,2.8,4.6,0.6511904761904762,66.0,0,0.04,3,3,a,35.8
517,Anderson,NFO,MID,5.4,4.2,4.4,6.4,0.9587301587301588,153.4,7,0.19,5,1,a,35.7
293,O'Brien,EVE,DEF,4.9,1.4,3.2,0.6,0.9031746031746032,75.3,2,0.07,1,5,a,35.5
628,José Sá,WOL,GK,4.2,4.3,3.1,1.2,0.6071428571428571,38.3,6,0.0,3,3,a,35.5
683,Alderete,SUN,DEF,4.1,2.8,3.9,6.3,0.8265873015873015,86.9,5,0.09,3,3,a,35.0
38,Konsa,AVL,DEF,4.4,3.6,3.3,8.2,0.9543650793650794,67.7,3,0.06,3,3,a,34.8
101,Kelleher,BRE,GK,4.7,3.0,3.6,11.8,0.9642857142857143,64.7,6,0.0,3,3,a,34.2
64,Watkins,AVL,FWD,8.6,1.6,3.7,8.8,0.823015873015873,134.3,11,0.47,3,3,a,34.2
606,Mavropanos,WHU,DEF,4.4,4.2,2.9,0.1,0.682936507936508,56.9,0,0.09,3,3,a,34.0
342,Bogle,LEE,DEF,4.4,3.0,2.6,0.2,0.8670634920634921,70.6,0,0.13,2,4,a,34.0
670,Roefs,SUN,GK,4.9,2.4,3.9,11.4,1.0,72.1,9,0.0,3,3,a,33.9
236,Neto,CHE,MID,7.0,2.6,4.0,4.8,0.821031746031746,154.1,8,0.42,4,2,a,33.9
633,H.Bueno,WOL,DEF,4.3,3.5,2.7,0.2,0.7321428571428571,109.2,4,0.15,3,3,a,33.9
371,Kerkez,LIV,DEF,5.6,2.6,2.5,3.0,0.7488095238095238,83.5,4,0.08,2,4,a,33.7
292,Mykolenko,EVE,DEF,4.9,1.2,3.0,0.6,0.817063492063492,69.3,1,0.11,1,5,a,33.7
317,Andersen,FUL,DEF,4.5,1.4,3.6,4.8,0.9091269841269841,89.6,5,0.11,2,4,a,33.6
636,S.Bueno,WOL,DEF,4.4,3.3,3.5,0.1,0.6912698412698413,65.8,2,0.13,3,3,a,33.6
343,Struijk,LEE,DEF,4.3,2.0,3.1,0.4,0.8543650793650793,84.2,3,0.12,2,4,a,33.2
226,Chalobah,CHE,DEF,5.7,2.4,4.8,20.4,0.9047619047619048,88.5,7,0.07,4,2,a,33.1
151,Van Hecke,BHA,DEF,4.4,3.2,4.0,3.7,0.8809523809523809,106.3,7,0.12,4,2,a,33.0
318,Bassey,FUL,DEF,4.4,1.8,3.4,0.4,0.611904761904762,55.2,6,0.07,2,4,a,32.8
6,Saliba,ARS,DEF,6.1,2.7,3.7,13.5,0.7515873015873016,53.0,4,0.06,3,3,a,32.7
97,Evanilson,BOU,FWD,6.9,2.4,3.2,2.5,0.7674603174603175,114.7,5,0.39,3,3,a,32.7
84,Tavernier,BOU,MID,5.3,1.2,4.2,1.2,0.734920634920635,119.9,8,0.39,3,3,a,32.4
417,Cherki,MCI,MID,6.4,2.8,4.1,7.9,0.4658730158730159,130.9,12,0.64,2,4,a,32.0
634,Mosquera,WOL,DEF,4.3,3.8,2.5,0.1,0.6293650793650793,62.1,3,0.11,3,3,a,32.0
322,Tete,FUL,DEF,4.5,1.2,3.7,0.3,0.6071428571428571,64.3,5,0.1,2,4,a,31.8
673,J.Palhinha,TOT,MID,5.5,2.0,3.7,0.8,0.6325396825396825,72.7,11,0.09,3,3,a,31.6
120,Schade,BRE,MID,6.9,1.2,3.8,1.4,0.7829365079365079,135.5,5,0.51,3,3,a,31.3
273,Wharton,CRY,MID,5.0,2.4,3.2,0.6,0.7888888888888889,95.5,4,0.29,3,3,a,31.2
77,Hill,BOU,DEF,4.1,6.2,3.5,6.5,0.476984126984127,46.1,2,0.08,3,3,a,31.0
36,Cash,AVL,DEF,4.9,1.2,3.9,10.9,0.9154761904761904,113.3,6,0.14,3,3,a,30.7
178,Welbeck,BHA,FWD,6.1,2.8,3.2,3.7,0.6087301587301587,102.5,11,0.56,4,2,a,30.6
330,Berge,FUL,MID,4.9,2.0,2.5,0.1,0.8932539682539683,71.0,3,0.09,2,4,a,30.4
807,Rayan,BOU,MID,5.6,4.8,4.8,2.7,0.15,26.5,2,0.45,3,3,a,30.3
402,Aït-Nouri,MCI,DEF,5.7,4.8,3.4,3.9,0.2492063492063492,20.1,4,0.22,2,4,a,30.2
654,Strand Larsen,CRY,FWD,6.2,3.4,2.2,2.3,0.6623015873015873,69.4,3,0.23,3,3,a,30.2
108,Ajer,BRE,DEF,4.4,3.2,2.9,0.3,0.609920634920635,51.1,1,0.08,3,3,a,30.1
575,Van de Ven,TOT,DEF,4.5,0.8,4.0,22.8,0.8884920634920634,85.2,10,0.12,3,3,a,30.0
515,Gibbs-White,NFO,MID,7.3,3.0,3.9,3.4,0.9119047619047619,153.1,8,0.34,5,1,a,29.7
241,Caicedo,CHE,MID,5.7,2.2,4.0,7.8,0.7396825396825397,83.8,10,0.15,4,2,a,29.3
733,Lammens,MUN,GK,5.0,3.8,3.2,2.4,0.75,39.6,6,0.0,4,2,a,29.1
668,Xhaka,SUN,MID,5.1,1.0,4.0,3.4,0.8158730158730159,102.4,5,0.13,3,3,a,29.0
267,Sarr,CRY,MID,6.4,3.8,4.3,3.6,0.5777777777777777,80.8,6,0.45,3,3,a,28.7
676,Ugochukwu,BUR,MID,5.0,2.4,2.9,0.1,0.7186507936507937,67.2,5,0.12,3,3,a,28.7
714,Woltemade,NEW,FWD,6.8,1.0,3.4,7.6,0.6071428571428571,90.9,10,0.42,3,3,a,28.6
681,Šeško,MUN,FWD,7.3,4.6,3.6,4.2,0.4488095238095238,103.8,15,0.52,4,2,a,27.9
532,Hume,SUN,DEF,4.5,2.2,2.8,0.3,0.9162698412698412,79.0,4,0.1,3,3,a,27.8
290,Branthwaite,EVE,DEF,5.3,3.4,3.0,0.2,0.1619047619047619,10.7,0,0.07,1,5,a,27.5
713,A.Jimenez,BOU,DEF,4.5,3.0,2.3,0.2,0.7003968253968254,61.2,0,0.1,3,3,a,27.5
469,Pope,NEW,GK,5.1,1.6,3.7,4.6,0.7801587301587302,53.2,3,0.01,3,3,a,27.5
225,James,CHE,DEF,5.6,1.4,4.3,8.0,0.6436507936507937,91.3,9,0.18,4,2,a,27.5
139,Verbruggen,BHA,GK,4.5,3.0,3.2,5.5,0.9642857142857143,68.0,4,0.0,4,2,a,27.0
347,Gudmundsson,LEE,DEF,3.8,0.8,2.2,3.8,0.8809523809523809,84.5,8,0.12,2,4,a,26.8
18,Madueke,ARS,MID,6.8,4.8,2.7,1.2,0.32896825396825397,70.8,6,0.31,3,3,a,26.8
491,Tonali,NEW,MID,5.3,2.4,2.4,1.1,0.7726190476190476,79.1,1,0.16,3,3,a,26.7
311,Beto,EVE,FWD,5.0,3.0,1.9,2.4,0.38293650793650796,56.2,3,0.59,1,5,a,26.6
421,Rodrigo,MCI,MID,6.3,3.8,2.8,0.5,0.4158730158730159,53.1,3,0.14,2,4,a,26.5
169,Gomez,BHA,MID,4.9,2.6,2.9,0.2,0.6297619047619047,91.4,7,0.33,4,2,a,26.5
613,Souček,WHU,MID,5.7,4.6,2.8,0.3,0.5261904761904762,71.3,6,0.32,3,3,a,26.5
679,Hermansen,WHU,GK,4.2,4.4,3.9,0.3,0.2857142857142857,15.6,6,0.0,3,3,a,26.4
544,Diarra,SUN,MID,5.3,4.8,3.4,0.1,0.33134920634920634,22.6,3,0.17,3,3,a,26.3
725,Hincapie,ARS,DEF,5.1,4.3,3.4,0.7,0.5170634920634921,53.9,5,0.11,3,3,a,26.1
651,Edozie,WOL,MID,4.3,1.0,6.0,0.4,0.002380952380952381,5.2,0,2.55,3,3,a,26.0
106,Collins,BRE,DEF,4.9,0.4,3.7,2.8,0.8218253968253968,101.3,7,0.12,3,3,a,25.9
470,Dúbravka,BUR,GK,4.0,1.0,2.8,32.4,1.0,77.1,7,0.0,3,3,a,25.9
314,Leno,FUL,GK,4.9,0.8,2.7,1.5,0.9642857142857143,57.8,3,0.0,2,4,a,25.8
266,Eze,ARS,MID,7.2,3.0,3.7,7.9,0.4857142857142857,89.1,8,0.41,3,3,a,25.8
365,Nmecha,LEE,FWD,5.0,2.6,2.8,0.6,0.28174603174603174,62.9,8,0.88,2,4,a,25.7
712,Yeremy,CRY,MID,5.8,1.2,2.6,0.2,0.675,115.6,3,0.46,3,3,a,25.6
215,Flemming,BUR,FWD,5.3,4.0,3.1,0.3,0.39880952380952384,62.6,6,0.41,3,3,a,25.5
148,F.Kadıoğlu,BHA,DEF,4.4,2.8,2.8,0.3,0.8492063492063492,84.8,4,0.15,4,2,a,25.5
121,Damsgaard,BRE,MID,5.6,3.6,3.3,0.5,0.5575396825396826,99.3,3,0.35,3,3,a,25.4
328,Sessegnon,FUL,MID,5.4,2.4,3.6,0.2,0.598015873015873,65.7,5,0.16,2,4,a,25.4
146,Dunk,BHA,DEF,4.5,3.2,2.7,1.0,0.9107142857142857,75.2,0,0.07,4,2,a,25.2
476,Burn,NEW,DEF,5.0,1.0,3.6,3.3,0.6420634920634921,49.7,5,0.03,3,3,a,25.1
612,L.Paquetá,WHU,MID,5.9,0.0,3.8,1.1,0.6003968253968254,95.7,8,0.29,3,3,u,25.1
565,Vicario,TOT,GK,4.7,1.2,3.1,5.8,0.9642857142857143,62.2,6,0.0,3,3,a,24.9
228,Gusto,CHE,DEF,4.9,1.8,3.5,2.0,0.6170634920634921,75.6,7,0.16,4,2,a,24.6
356,Gruev,LEE,MID,4.7,3.4,2.6,0.1,0.47023809523809523,39.2,3,0.09,2,4,a,24.4
643,André,WOL,MID,5.2,2.2,2.4,0.1,0.7738095238095238,50.3,1,0.04,3,3,a,24.4
452,Amad,MUN,MID,6.2,1.4,3.2,1.7,0.6773809523809524,124.2,6,0.39,4,2,a,24.4
697,Adli,BOU,MID,5.4,4.2,2.5,0.7,0.3599206349206349,67.5,4,0.4,3,3,a,24.4
485,Gordon,NEW,MID,7.2,3.0,3.2,2.8,0.5817460317460318,98.9,4,0.56,3,3,a,24.2
191,Estève,BUR,DEF,3.9,1.8,2.4,7.9,0.8527777777777777,67.6,0,0.05,3,3,a,23.9
220,Sánchez,CHE,GK,4.9,1.4,3.7,14.1,0.8944444444444445,65.7,7,0.0,4,2,a,23.8
443,Shaw,MUN,DEF,4.5,3.0,2.5,0.8,0.9341269841269841,70.6,0,0.08,4,2,a,23.6
100,Kroupi.Jr,BOU,FWD,4.7,2.8,3.1,7.3,0.4111111111111111,83.7,7,0.46,3,3,a,23.5
552,Sadiki,SUN,MID,4.9,2.0,2.4,0.1,0.8031746031746032,49.2,0,0.06,3,3,a,23.4
568,Pedro Porro,TOT,DEF,5.1,0.0,3.4,9.3,0.7222222222222222,102.3,4,0.16,3,3,a,23.3
40,Mings,AVL,DEF,4.3,3.2,3.7,0.7,0.3103174603174603,30.7,4,0.11,3,3,a,23.0
